index,file,true_label,pred_label,prob,overlay_shown,heatmap_mean,heatmap_max,orig_saved,overlay_saved
0,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0001-0001.jpeg,0,0,0.2761076092720032,1,0.25173741579055786,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0000_IM-0001-0001.jpeg,C:\Pneumonia_Project\gradcam_outputs\overlay_0000_IM-0001-0001.jpeg
1,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0003-0001.jpeg,0,0,0.015933187678456306,0,0.08893036842346191,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0001_IM-0003-0001.jpeg,
2,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0005-0001.jpeg,0,0,0.032555438578128815,0,0.11810193210840225,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0002_IM-0005-0001.jpeg,
3,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0006-0001.jpeg,0,0,0.01964709907770157,0,0.0905531570315361,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0003_IM-0006-0001.jpeg,
4,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0007-0001.jpeg,0,0,0.05244598537683487,0,0.15487271547317505,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0004_IM-0007-0001.jpeg,
5,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0009-0001.jpeg,0,0,0.00707409018650651,0,0.06555745750665665,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0005_IM-0009-0001.jpeg,
6,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0010-0001.jpeg,0,0,0.02876664511859417,0,0.11038307100534439,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0006_IM-0010-0001.jpeg,
7,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0011-0001-0001.jpeg,0,0,0.09868764877319336,0,0.21574825048446655,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0007_IM-0011-0001-0001.jpeg,
8,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0011-0001-0002.jpeg,0,0,0.1928756833076477,0,0.2589539885520935,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0008_IM-0011-0001-0002.jpeg,
9,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0011-0001.jpeg,0,0,0.0078263645991683,0,0.07119390368461609,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0009_IM-0011-0001.jpeg,
10,C:\Pneumonia_Project\chest_xray\test\NORMAL\IM-0013-0001.jpeg,0,0,0.33370280265808105,1,0.31812402606010437,1.0,C:\Pneumonia_Project\gradcam_outputs\orig_0010_IM-0013-0001.jpeg,C:\Pneumonia_Project\gradcam_outputs\overlay_0010_IM-0013-0001.jpeg
